url,title,keywords,descr,h1,Описание,Полное описание
http://360gis.kz/eda.html,eda,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/vacation.html,vacation,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/help.html,help,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,ПАМЯТКА ПО РАБОТЕ С 360 ГИС ДЛЯ ПАРТНЕРА,null,null
http://360gis.kz/booking.html,booking,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/meiman.html,"Ресторан ""Мейман"" в Усть-Каменогорске | 360 ГИС","ресторан в усть каменогорске, кафе усть каменогорск, банкет, рестораны, еда поесть, восточная кухня","Ресторан восточной и европейской кухни ""Meiman"" | 360 ГИС в Усть-Каменогорске","К сожалению, срок размещения данной организации на 360 ГИС закончился. Пожалуйста, сообщите об этом руководителю.","Доставка готовых блюд
            Средний чек 3500 тг
            Восточная кухня
            Европейская кухня
            Казахская кухня
            Узбекская кухня
            Детское меню
            VIP-зал
            До 120 мест
            Wi-Fi",null
http://360gis.kz/shanti_thai_spa.html,shanti_thai_spa,"массаж в усть каменогорске, тайский массаж, Тайский спа салон, тайский традиционный массаж, лечебный массаж, спа программы, расслабляющий массаж, спортивный массаж, фитобочка, ука","Центр тайского массажа ""Shanti Thai SPA"" в Усть-Каменогорске | 360 ГИС","К сожалению, срок размещения данной организации на 360 ГИС закончился. Пожалуйста, сообщите об этом руководителю.","Тайский SPA салон
          Тайский традиционный массаж
          Лечебный массаж
          SPA программы
          Расслабляющий массаж
          Спортивный массаж
          Фитобочка",null
http://360gis.kz/auto.html,auto,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/beauty.html,beauty,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/contact.html,contact,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
http://360gis.kz/almaty.html,Almaty,"справочник в Алмате, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, алмата, 360 видео, 360 городской информационный справочник",Виртуальные видео-туры по заведениям и компаниям города! | 360 ГИС,СМОТРИ ВИРТУАЛЬНО,null,null
http://360gis.kz/index.html,Главная,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Виртуальные видео-туры по заведениям и компаниям города! | 360 ГИС,СМОТРИ ВИРТУАЛЬНО,null,null
http://360gis.kz/dom.html,dom,"справочник в усть-каменогорске, ресторан, кафе, развлечения, салон красоты, кальяны, магазин, компании, студия, компания, клиника, стоматология, усть каменоргорск, 360 видео, 360 городской информационный справочник",Добавить новую компанию в справочник! | 360 ГИС,null,null,null
